algoritmo;condicion;elementos;tiempo en nanosegundos
QUICKSORT;ALEATORIO;100;0.0
SELECCION;ALEATORIO;30;735500.0
SELECCION;ALEATORIO;30;86100.0
SELECCION;ALEATORIO;30;79500.0
SELECCION;ORDENADO;30;109400.0
QUICKSORT;ALEATORIO;50;1.43633E7;
QUICKSORT;ALEATORIO;50;1.24324E7;
QUICKSORT;ALEATORIO;50;346300.0;
QUICKSORT;ALEATORIO;50;366800.0;
QUICKSORT;ALEATORIO;50;2.42039E7;
QUICKSORT;ALEATORIO;50;342400.0;
QUICKSORT;ALEATORIO;50;682500.0;
QUICKSORT;ALEATORIO;50;291600.0;
QUICKSORT;ALEATORIO;50;3.05346E7;
QUICKSORT;ALEATORIO;50;424200.0;
QUICKSORT;ALEATORIO;50;1.4104E7;
QUICKSORT;ALEATORIO;50;1074500.0;
